match_id,ticket_category,ticket_price,ticket_stock
B1,Regular,20,300
B1,VIP,50,100
B2,Regular,32,300
B2,VIP,82,100
B3,Regular,39,300
B3,VIP,98,100
B4,Regular,45,300
B4,VIP,114,100
B5,Regular,52,300
B5,VIP,130,100
B6,Regular,28,300
B6,VIP,70,100
B7,Regular,44,300
B7,VIP,110,100
B8,Regular,49,300
B8,VIP,124,100
B9,Regular,50,300
B9,VIP,126,100
B10,Regular,56,300
B10,VIP,142,100
B11,Regular,32,300
B11,VIP,80,100
B12,Regular,64,300
B12,VIP,160,100
B13,Regular,31,300
B13,VIP,78,100
B14,Regular,44,300
B14,VIP,110,100
B15,Regular,63,300
B15,VIP,158,100
B16,Regular,19,300
B16,VIP,48,100
B17,Regular,18,300
B17,VIP,46,100
B18,Regular,60,300
B18,VIP,150,100
B19,Regular,35,300
B19,VIP,88,100
B20,Regular,31,300
B20,VIP,78,100
