match_id,name,home_team,away_team,description,poster,venue,date,time,capacity
B1,Badminton Event 1,Alabama State,Abilene Christian,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,H. A. Chapman Stadium,2025-08-30,8:00pm,5000
B2,Badminton Event 2,Albany,Alabama A&M,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Donald W. Reynolds Razorback Stadium,2025-08-30,4:15pm,4500
B3,Badminton Event 3,Alcorn State,Alabama State,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Protective Stadium,2025-08-28,8:30pm,4700
B4,Badminton Event 4,Arizona,Albany,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Kinnick Stadium,2025-08-30,6:00pm,5000
B5,Badminton Event 5,Army,Arkansas-Pine Bluff,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Jones AT&T Stadium,2025-08-30,7:30pm,5100
B6,Badminton Event 6,Baylor,Austin Peay,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,"Johnny ""Red"" Floyd Stadium",2025-08-30,7:00pm,4800
B7,Badminton Event 7,Boston College,Bethune-Cookman,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Pitbull Stadium,2025-08-29,7:00pm,4400
B8,Badminton Event 8,BYU,Bryant,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Aggie Memorial Stadium,2025-08-30,9:00pm,4300
B9,Badminton Event 9,Buffalo,Bucknell,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Falcon Stadium,2025-08-30,3:30pm,4450
B10,Badminton Event 10,Cal,California Polytechnic,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Rice–Eccles Stadium,2025-09-06,6:00pm,4100
B11,Badminton Event 11,Central Florida,Campbell,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Dowdy–Ficklen Stadium,2025-09-06,6:00pm,4000
B12,Badminton Event 12,Cincinnati,Central Arkansas,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Faurot Field,2025-08-28,7:30pm,3200
B13,Badminton Event 13,Clemson,Central Connecticut,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Pratt & Whitney Stadium at Rentschler Field,2025-08-30,2:00pm,3700
B14,Badminton Event 14,Colorado,Charlestone Southern,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,FirstBank Stadium,2025-08-30,7:00pm,3900
B15,Badminton Event 15,Columbia,Charlestone Southern,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Brooks Stadium,2025-09-06,7:30pm,4000
B16,Badminton Event 16,Dartmouth,Chattanooga,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Simmons Bank Liberty Stadium,2025-08-30,4:30pm,5000
B17,Badminton Event 17,Dayton,Delaware State,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Delaware Stadium,2025-08-28,7:00pm,5000
B18,Badminton Event 18,Duke,Duquesne,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Acrisure Stadium,2025-08-30,12:00pm,4500
B19,Badminton Event 19,Elon,East Tennessee State,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Neyland Stadium,2025-09-06,3:30pm,4700
B20,Badminton Event 20,Florida,East Texas A&M,"Experience the thrill of live badminton as top players compete in fast-paced matches full of skill, energy, and excitement. Get your tickets now and be part of the action!",https://as2.ftcdn.net/v2/jpg/02/42/20/35/1000_F_242203533_vmONMpQFO4WyhB0uUyD2EHLw4LXJmOeX.jpg,Gerald J. Ford Stadium,2025-08-30,9:00pm,5000
F1,Football Event 1,Georgia Tech,Eastern Kentucky,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,L&N Federal Credit Union Stadium,2025-08-30,3:00pm,5100
F2,Football Event 2,Harvard,Eastern Washington,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Albertsons Stadium,2025-09-05,9:00pm,4800
F3,Football Event 3,Hawaii,Elon,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Wallace Wade Stadium,2025-08-28,7:30pm,4400
F4,Football Event 4,Idaho,Florida A&M,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Flagler Credit Union Stadium,2025-09-06,6:00pm,4300
F5,Football Event 5,Illinois,Fordham,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Alumni Stadium,2025-08-30,2:00pm,4450
F6,Football Event 6,Indiana,Gardner-Webb,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Bobby Dodd Stadium,2025-09-06,3:30pm,3100
F7,Football Event 7,Iowa,Holy Cross,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Huskie Stadium,2025-08-30,3:30pm,3450
F8,Football Event 8,Kansas,Howard,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Temple Stadium,2025-09-06,2:00pm,4700
F9,Football Event 9,Kent State,Idaho State,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Allegiant Stadium,2025-08-23,4:00pm,5100
F10,Football Event 10,Lehigh,Idaho State,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,University Stadium,2025-09-06,3:00pm,5250
F11,Football Event 11,Liberty,Idaho State,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Martin Stadium,2025-08-30,10:00pm,5150
F12,Football Event 12,Louisiana,Illinois State,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Gaylord Family Oklahoma Memorial Stadium,2025-08-30,6:00pm,4950
F13,Football Event 13,Marshall,Lamar,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,DATCU Stadium,2025-08-30,8:00pm,4800
F14,Football Event 14,Massachusetts,Lindenwood,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Kidd Brewer Stadium,2025-09-06,3:30pm,3200
F15,Football Event 15,McNeese,LIU,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Ben Hill Griffin Stadium,2025-08-30,7:00pm,3700
F16,Football Event 16,Memphis,LIU,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Rynearson Stadium,2025-09-06,7:00pm,3900
F17,Football Event 17,Miami (OH),Maine,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Arthur L. Williams Stadium,2025-08-30,4:00pm,4000
F18,Football Event 18,Middle Tennessee,Merrimack,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Dix Stadium,2025-08-30,12:00pm,5000
F19,Football Event 19,Minnesota,Montana State,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Autzen Stadium,2025-08-30,4:00pm,5000
F20,Football Event 20,Mississippi State,Morgan State,"Feel the excitement of live football as top teams battle it out on the pitch with skill, passion, and power. Get your tickets now and be part of the action!",https://rodmclean.com/wp-content/uploads/2019/06/Athletes-Soccer-Football-Bicycle-kick-Kai-Sports-Advertising-Photographer-Rod-McLean-CP-G.jpg,Hancock Whitney Stadium,2025-08-30,7:00pm,4500
N1,Basketball Event 1,New Hampshire,Nicholls Colonels,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Veterans Memorial Stadium,2025-08-30,7:00pm,4700
N2,Basketball Event 2,New Mexico,North Carolina Central,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,S.B. Ballard Stadium,2025-09-06,6:00pm,5000
N3,Basketball Event 3,North Texas,North Dakota,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Bill Snyder Family Football Stadium,2025-08-30,7:00pm,5100
N4,Basketball Event 4,Northwestern,Northern Arizona,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Mountain America Stadium,2025-08-30,10:00pm,4400
N5,Basketball Event 5,Notre Dame,Northern Colorado,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Canvas Stadium,2025-09-06,7:00pm,4300
N6,Basketball Event 6,Ohio,Northern Iowa,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,War Memorial Stadium,2025-09-06,4:00pm,4450
N7,Basketball Event 7,Oregon,Robert Morris,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Milan Puskar Stadium,2025-08-30,2:00pm,3100
N8,Basketball Event 8,Penn State,Sacramento State,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Mackay Stadium,2025-09-06,5:00pm,3450
N9,Basketball Event 9,Pittsburgh,Saint Francis,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Malone Stadium,2025-08-28,6:00pm,4700
N10,Basketball Event 10,Purdue,Saint Francis,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,University at Buffalo Stadium,2025-09-06,3:30pm,5100
N11,Basketball Event 11,Richmond,South Carolina State,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Williams–Brice Stadium,2025-09-06,7:00pm,5250
N12,Basketball Event 12,San Diego State,South Dakota,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Jack Trice Stadium,2025-08-30,3:30pm,5150
N13,Basketball Event 13,SMU,Southeast Missouri State,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Centennial Bank Stadium,2025-08-30,7:00pm,4950
N14,Basketball Event 14,South Florida,Southeastern Louisiana,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Joe Aillet Stadium,2025-08-30,7:30pm,5000
N15,Basketball Event 15,Stanford,Stephen F. Austin,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,TDECU Stadium,2025-08-28,8:00pm,4500
N16,Basketball Event 16,Syracuse,Stony Brook,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Snapdragon Stadium,2025-08-28,10:00pm,4700
N17,Basketball Event 17,Temple,Tarleton,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Michie Stadium,2025-08-29,6:00pm,5000
N18,Basketball Event 18,Texas,Texas Southern,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,California Memorial Stadium,2025-09-06,6:00pm,5100
N19,Basketball Event 19,Troy,UT Martin,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Boone Pickens Stadium,2025-08-28,7:30pm,4800
N20,Basketball Event 20,Tulane,UT Martin,"Catch the thrill of live basketball as top teams face off in fast-paced, high-energy games. Get your tickets now and feel the excitement courtside!",https://static.vecteezy.com/system/resources/previews/004/614/972/non_2x/basketball-summer-tournament-flyer-design-template-vector.jpg,Sun Bowl,2025-09-06,9:00pm,4400
T1,Tennis Event 1,Tulsa,VMI,Experience the intensity of live tennis as world-class players deliver powerful serves and thrilling rallies. Get your tickets now and be part of the action!,https://i.pinimg.com/564x/9b/ba/13/9bba1341fe2e63cb44ae8640e81bd642.jpg,Navy–Marine Corps Memorial Stadium,2025-08-30,12:00pm,4300
T2,Tennis Event 2,UCLA,Weber State,Experience the intensity of live tennis as world-class players deliver powerful serves and thrilling rallies. Get your tickets now and be part of the action!,https://i.pinimg.com/564x/9b/ba/13/9bba1341fe2e63cb44ae8640e81bd642.jpg,Bridgeforth Stadium,2025-08-30,6:00pm,4450
T3,Tennis Event 3,UNLV,Western Illinois,Experience the intensity of live tennis as world-class players deliver powerful serves and thrilling rallies. Get your tickets now and be part of the action!,https://i.pinimg.com/564x/9b/ba/13/9bba1341fe2e63cb44ae8640e81bd642.jpg,Memorial Stadium,2025-08-29,7:30pm,4100
T4,Tennis Event 4,Utah,Western Illinois,Experience the intensity of live tennis as world-class players deliver powerful serves and thrilling rallies. Get your tickets now and be part of the action!,https://i.pinimg.com/564x/9b/ba/13/9bba1341fe2e63cb44ae8640e81bd642.jpg,Northwestern Medicine Field at Martin Stadium,2025-09-05,7:30pm,4000
T5,Tennis Event 5,Vanderbilt,Abilene Christian,Experience the intensity of live tennis as world-class players deliver powerful serves and thrilling rallies. Get your tickets now and be part of the action!,https://i.pinimg.com/564x/9b/ba/13/9bba1341fe2e63cb44ae8640e81bd642.jpg,Amon G. Carter Stadium,2025-09-12,8:00pm,3200
