match_id,ticket_category,ticket_price,ticket_stock
F1,Regular,32,300
F1,VIP,82,100
F2,Regular,41,300
F2,VIP,104,100
F3,Regular,72,300
F3,VIP,180,100
F4,Regular,24,300
F4,VIP,62,100
F5,Regular,84,300
F5,VIP,212,100
F6,Regular,32,300
F6,VIP,80,100
F7,Regular,46,300
F7,VIP,116,100
F8,Regular,63,300
F8,VIP,158,100
F9,Regular,91,300
F9,VIP,228,100
F10,Regular,36,300
F10,VIP,92,100
F11,Regular,60,300
F11,VIP,150,100
F12,Regular,72,300
F12,VIP,182,100
F13,Regular,33,300
F13,VIP,84,100
F14,Regular,30,300
F14,VIP,76,100
F15,Regular,43,300
F15,VIP,108,100
F16,Regular,36,300
F16,VIP,90,100
F17,Regular,29,300
F17,VIP,74,100
F18,Regular,34,300
F18,VIP,86,100
F19,Regular,45,300
F19,VIP,114,100
F20,Regular,45,300
F20,VIP,114,100
