match_id,ticket_category,ticket_price,ticket_stock
N1,Regular,156,300
N1,VIP,392,100
N2,Regular,107,300
N2,VIP,268,100
N3,Regular,40,300
N3,VIP,100,100
N4,Regular,172,300
N4,VIP,432,100
N5,Regular,42,300
N5,VIP,106,100
N6,Regular,152,300
N6,VIP,382,100
N7,Regular,72,300
N7,VIP,180,100
N8,Regular,176,300
N8,VIP,440,100
N9,Regular,134,300
N9,VIP,336,100
N10,Regular,104,300
N10,VIP,262,100
N11,Regular,148,300
N11,VIP,372,100
N12,Regular,119,300
N12,VIP,298,100
N13,Regular,197,300
N13,VIP,494,100
N14,Regular,144,300
N14,VIP,360,100
N15,Regular,159,300
N15,VIP,398,100
N16,Regular,138,300
N16,VIP,346,100
N17,Regular,69,300
N17,VIP,174,100
N18,Regular,137,300
N18,VIP,344,100
N19,Regular,80,300
N19,VIP,202,100
N20,Regular,188,300
N20,VIP,472,100
