match_id,ticket_category,ticket_price,ticket_stock
T1,Regular,75,300
T1,VIP,188,100
T2,Regular,73,300
T2,VIP,184,100
T3,Regular,48,300
T3,VIP,122,100
T4,Regular,38,300
T4,VIP,96,100
T5,Regular,41,300
T5,VIP,104,100
T6,Regular,117,300
T6,VIP,294,100
T7,Regular,67,300
T7,VIP,168,100
T8,Regular,37,300
T8,VIP,94,100
T9,Regular,95,300
T9,VIP,238,100
T10,Regular,56,300
T10,VIP,140,100
T11,Regular,78,300
T11,VIP,196,100
T12,Regular,51,300
T12,VIP,128,100
T13,Regular,111,300
T13,VIP,278,100
T14,Regular,59,300
T14,VIP,148,100
T15,Regular,88,300
T15,VIP,220,100
T16,Regular,91,300
T16,VIP,228,100
T17,Regular,40,300
T17,VIP,100,100
T18,Regular,90,300
T18,VIP,226,100
T19,Regular,116,300
T19,VIP,292,100
T20,Regular,71,300
T20,VIP,178,100
