match_id,ticket_category,ticket_price,ticket_stock
V1,Regular,80,300
V1,VIP,200,100
V2,Regular,30,300
V2,VIP,76,100
V3,Regular,53,300
V3,VIP,134,100
V4,Regular,36,300
V4,VIP,92,100
V5,Regular,77,300
V5,VIP,194,100
V6,Regular,62,300
V6,VIP,156,100
V7,Regular,54,300
V7,VIP,136,100
V8,Regular,41,300
V8,VIP,104,100
V9,Regular,79,300
V9,VIP,198,100
V10,Regular,50,300
V10,VIP,126,100
V11,Regular,21,300
V11,VIP,54,100
V12,Regular,76,300
V12,VIP,192,100
V13,Regular,54,300
V13,VIP,136,100
V14,Regular,65,300
V14,VIP,164,100
V15,Regular,65,300
V15,VIP,164,100
V16,Regular,77,300
V16,VIP,194,100
V17,Regular,51,300
V17,VIP,128,100
V18,Regular,44,300
V18,VIP,110,100
V19,Regular,28,300
V19,VIP,70,100
V20,Regular,58,300
V20,VIP,146,100
